Rank,model,MAE,RMSE,MAPE_percent,data_scope,test_start,test_end
1,Prophet,394.35651771469713,551.5826047460273,3.162754641126944,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
2,HistGradientBoosting,879.7575205089873,1128.2796251389707,6.868552210496856,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
3,LightGBM,944.909494405001,1159.6312071988373,7.412345307867763,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
4,Random Forest,1018.7380705822692,1376.564505545727,7.686966988907863,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
5,SARIMA,1046.1418224164922,1574.1180657731095,7.625278496275214,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
6,ARIMA,1876.7864713617328,2516.0369866364586,13.955140721541978,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
7,XGBoost,2104.97998046875,2522.978002282224,16.138038053745856,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
