model,MAE,RMSE,MAPE_percent,data_scope,test_start,test_end
HistGradientBoosting,879.7575205089873,1128.2796251389707,6.868552210496856,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
LightGBM,944.909494405001,1159.6312071988373,7.412345307867763,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
Random Forest,1018.7380705822692,1376.5645055457267,7.686966988907866,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
XGBoost,2104.97998046875,2522.9780022822238,16.138038053745856,All stores and all SKUs aggregated daily,2025-03-20,2025-12-31
